0,1,10
0,2,20
1,2,30
1,3,40
2,3,50
3,4,60
4,5,70
5,6,80
6,7,90
7,8,100
8,9,110
9,10,120
10,11,130
11,12,140
12,13,150
13,14,160
14,15,170
15,16,180
16,17,190
17,18,200
18,19,210
19,20,220
20,21,230
21,22,240
22,23,250
23,24,260
24,25,270
25,26,280
26,27,290
27,28,300
28,29,310
29,30,320
30,31,330
31,32,340
32,33,350
33,34,360
34,35,370
35,36,380
36,37,390
37,38,400
38,39,410
39,40,420
40,41,430
41,42,440
42,43,450
43,44,460
44,45,470
45,46,480
46,47,490
47,48,500
48,49,510
49,50,520
50,51,530
52,54,550
53,55,560
54,56,570
55,57,580
56,58,590
57,59,600
58,60,610
59,61,620
60,62,630
61,63,640
62,64,650
63,65,660
64,66,670
65,67,680
66,68,690
67,69,700
68,70,710
69,71,720
70,72,730
71,73,740
72,74,750
73,75,760
74,76,770
75,77,780
76,78,790
77,79,800
78,80,810
79,81,820
80,82,830
81,83,840
82,84,850
83,85,860
84,86,870
85,87,880
86,88,890
87,89,900
88,90,910
89,91,920
90,92,930
91,93,940
92,94,950
93,95,960
94,96,970
95,97,980
96,98,990
97,99,1000
